MatchName,SoS
K0327A1,soil
K0324C2,soil
K0324C1,soil
K0324A1,soil
K0324A2,soil
K0324B1,soil
K0324B2,soil
K0327C2,soil
K0327C1,soil
K0327B2,soil
K0327B1,soil
K0327A2,soil
K0328A1,soil
K0328A2,soil
K0328B1,soil
K0328C1,soil
K0328C1,soil
K0328B2,soil
K0323A2,soil
K0323A1,soil
K0323C1,soil
K0323C2,soil
K0323B2,soil
K0323B1,soil
K0016A1,soil
K0018A1,soil
NA,soil
K0011AA,soil
K0028C2,soil
K0028B1,soil
K0035A1,soil
K0030B1,sediment
K0030A2,sediment
K0026A1,soil
K0078A1,soil
K0079A1,soil
K0103C1,soil
K0068A1,sediment
K0117A1,sediment
K0058A1,soil
K0197A1,soil
K0119A1,soil
K0094C1,soil
K0157A1,sediment
K0158A1,sediment
K0189A1,soil
K0140A1,soil
K0196A2,soil
K0210A2,soil
K0063A1,soil
K0126A1,soil
K0016A2,soil
K0018A2,soil
NA,soil
K0011A2,soil
"K0028B,LC1(LC)",sediment
K0035A2,sediment
"K0030C,LB,LB2(LB)",soil
K0026A2,sediment
K0079A2,soil
K0078A2,soil
K0103C2,sediment
K0068C2,soil
K0117A2,soil
K0058A2,soil
K0197A2,soil
K0119A2,soil
K0094C2,soil
K0157A2,sediment
K0158A2,sediment
K0189A2,soil
K0140A2,soil
K0196A1,soil
K0210A1,soil
"K0063A,LC2(LC)",sediment
K0063C2,sediment
K0126A2,soil
K0016B1,soil
K0018B1,soil
7.86E+11.86E+1111,soil
K0011B1,soil
"K0028C,LA2)",sediment
K0035B1,sediment
"K0030C,LA,LB2)",sediment
K0026B1,soil
K0078B1,soil
K0078B2,soil
K0079B2,soil
K0104C1,soil
K0068B1,soil
K0117B1,soil
K0058C2,soil
K0197B1,soil
K0119B1,soil
K0094B1,soil
K0157B1,soil
K0158B1,soil
K0189B1,soil
K0140B1,soil
K0196B1,soil
K0210B1,soil
K0063B1,sediment
K0126B1,soil
K0016B2,soil
K0018B2,soil
7.86E+11.86E+1111,soil
K0011B2,soil
"K0028A,LB,LC2(LC)",soil
K0035B2,soil
"K0030A,LB2(LB)",soil
K0026B2,sediment
K0078B1,soil
K0079B1,soil
K0104C2,sediment
K0068C1,soil
K0117B2,soil
K0058B1,sediment
K0197B2,soil
K0119B2,soil
K0094B2,soil
K0157B2,soil
K0158B2,soil
K0189B2,soil
K0140B2,soil
K0196B2,soil
K0210C1,soil
K0063B2,soil
K0126B2,soil
K0016C1,soil
K0018C1,soil
7.86E+11.86E+1111,soil
"K0028A,LC2(LC)",soil
K0035C1,sediment
"K0030A,LC2(LC)",soil
K0026C1,soil
K0078C1,soil
K0079C1,soil
K0104A1,soil
K0068A2,soil
K0117C2,soil
K0058B2,soil
K0197C1,soil
K0119C1,soil
K0094A1,soil
K0157C1,sediment
K0158C1,sediment
K0189C1,soil
K0140C1,soil
K0196C1,sediment
K0210B2,soil
K0063C1,sediment
K0126C1,soil
K0016C2,soil
K0018C2,soil
7.86E+11.86E+1111,soil
"K0028A,LB1(LB)",soil
K0035C2,soil
"K0030C,LA1(LA)",sediment
K0030A1,sediment
K0030C1,sediment
K0026C2,sediment
K0078C2,soil
K0079C2,soil
K0104A2,soil
K0068B2,soil
K0117C2,soil
K0058C1,sediment
K0197C2,soil
K0119C2,soil
K0094A2,soil
K0157C2,sediment
K0158C2,sediment
K0189C2,soil
K0140C2,soil
K0196C2,sediment
K0210C2,soil
"K0063A,LC2(LA)",soil
K0126C2,soil
K0229B2,sediment
K0229B1,sediment
K0364A2,sediment
K0368B1,
K0368C1,
K0368C2,sediment
K0368A1,sediment
K0368A2,sediment
K0368B2,sediment
K0317C1,soil
K0317A2,sediment
K0317A1,soil
K0317B1,soil
K0293B2,soil
K0315B1,soil
K0135A1,sediment
K0315B2,soil
K0315A2,sediment
K0315C1,sediment
K0315C2,sediment
K0229A2,sediment
K0302C1,sediment
K0319C1,sediment
K0334B1,
K0334C2,sediment
K0334C2,sediment
K0314A2,sediment
K0314B1,soil
K0314A1,sediment
K0314B2,soil
K0340C1,sediment
K0340C2,sediment
K0340B1,soil
K0340B2,soil
K0340A1,sediment
K0340A2,sediment
K0309A1,sediment
K0309B1,sediment
K0309A2,sediment
K0309B2,soil
K0309C2,sediment
K0309C1,sediment
K0307A2,sediment
K0307A1,sediment
L0307B1,soil
K0307C1,sediment
K0317B2,sediment
K0317C2,sediment
K0307B2,soil
K0280A1,sediment
K0280A2,sediment
K0280B1,sediment
K0280B2,sediment
K0280C1,sediment
K0280C2,sediment
K0307C2,sediment
K0256C2,soil
K0320C2,soil
K0320B1,soil
K0304C2,soil
K0108C1,soil
K0108C2,soil
K0108B1,soil
K0108A2,soil
K0255ALC1,soil
K0255B1,soil
K0255C2,soil
K0255A1,soil
K0255B1,soil
K0255C2,soil
K0099C2,soil
K0099B1,soil
K0255B2,soil
K0256A1,soil
K0256A2,soil
K0285A2,soil
285B2,soil
K0284B1,soil
K0284A2,soil
K0288A1,soil
K00284ALB1,sediment
K0290C1,soil
K0290A1,soil
293B1,soil
K0288C2,soil
K0284C2,soil
K0284B2,soil
K0284C1,soil
K0288B1,soil
K0295B2,soil
K0288A2,soil
K0295A1,soil
K0295C2,soil
K0295A2,sediment
K0295C1,soil
K0287A1,soil
285B1,soil
K00284B1,soil
K0285C1,soil
K0285A1,soil
K0285C2,soil
K0304C2,soil
K0304C2,soil
K0304B2,soil
K0304A2,soil
K0304A1,soil
K0304C1,soil
K0320A1,soil
K0298A1,soil
K0298A2,soil
K0303A1,soil
K0303A2,soil
K0303B2,soil
K0302B1,soil
K0302B2,soil
K0301A1,soil
K0301A2,soil
K0320A2,sediment
K0320C1,soil
K0297B1,sediment
K0303B1,soil
K0303C2,soil
K0301B1,soil
K0301B2,soil
K0300A2,soil
K0301C1,soil
K0305A1,soil
K0305A2,soil
K0305B1,soil
K0305B2,soil
K0298B2,soil
K0321A1,soil
K0321C1,soil
K0298B1,soil
K0298C2,soil
K0305C1,soil
K0305C2,soil
K0299C2,soil
K0299A2,soil
K0299C1,soil
K0299B1,soil
K0303C1,soil
K0300B1,soil
K0298C1,soil
K0302A2,soil
K0302C2,soil
L0320B2,soil
K0320A2,soil
K0302B2,soil
K0297A1,soil
K0334B2,soil
K0334A1,sediment
K0334A2,soil
K0352A1,soil
K0352A2,soil
K0352B2,soil
K0352B1,soil
K0352C1,soil
K0352C2,soil
K0350B1,soil
K0350B2,soil
K0350C1,soil
K0350C2,soil
K0350A2,soil
K0350A1,soil
K0333B1,soil
K0333A2,soil
K0333B2,soil
K0333C1,soil
K0333C2,soil
K0333A1,soil
K0345A1,soil
K0345C1,soil
K0345A2,soil
K0300B2,soil
K0300C1,soil
K0345C2,soil
K0345B2,soil
K0300C2,sediment
K0345B1,soil
K0316B2,sediment
K0316A2,soil
K0316A1,sediment
K0316C1,soil
K0316C2,soil
K0316B1,soil
K0319B2,soil
K0319B1,soil
K0319A1,soil
K0319C2,soil
K0319A2,sediment
K0132B2,sediment
K0312A2,sediment
K0312C1,sediment
K0312B1,sediment
K0310A2,sediment
K0310A1,sediment
K0310B1,sediment
K0310B2,sediment
K0306C1,sediment
K0306C2,sediment
K030A1,sediment
K0306A1,sediment
K0313A2,sediment
K0313B1,sediment
K0313B2,sediment
K0312C2,soil
K0310C2,soil
K0306A2,sediment
K0313C2,soil
K0312A1,soil
K0310C1,soil
K0306B1,soil
K0313C1,soil
K0306B2,sediment
K0193A1,soil
180A1,sediment
K0172A1,soil
K0173A1,soil
201A1,sediment
K0203A1,sediment
K0204A1,sediment
K0187A1,sediment
A1,NA
K0202A1,sediment
C008A1,soil
K0142A1,soil
186A1,sediment
181A1,sediment
184A1,sediment
183A1,sediment
K0182A1,sediment
116A1,soil
K0062A1,soil
K0115A1,soil
K0082A1,soil
K0135A1,soil
K0106A1,soil
K0029A1,soil
K0141A1,soil
K0097A1,sediment
K0215A1,sediment
219A1,sediment
K0218A1,sediment
K0212A1,sediment
K0253A1,sediment
k0281A1,soil
K0348A1,soil
K0282A1,soil
K0275A1,sediment
K0276A1,soil
K0193A2,soil
180A2,sediment
K0172A2,soil
K0173A2,soil
201A2,sediment
K0203A2,sediment
K0204A2,sediment
K0187A2,sediment
A2,NA
K0202A2,sediment
C008A2,sediment
K0142A2,soil
186A2,sediment
181A2,sediment
184A2,sediment
183A2,sediment
K0182A2,sediment
116A2,soil
K0062A2,soil
Ko115A2,soil
K0082A2,soil
K0135A2,soil
K0106A2,soil
K0029A2,soil
K0141A2,soil
K0097A2,soil
K0215A2,soil
K0219A2,sediment
K0218A2,sediment
K0212A2,sediment
K0253A2,sediment
k0281A2,soil
K0348A2,sediment
K0282A2,sediment
K0275A2,soil
K0276A2,sediment
K0193B1,soil
180B1,sediment
K0172B1,sediment
K0173B1,sediment
201B1,sediment
K0203B1,sediment
K0204B1,sediment
K0187B1,sediment
K0202B1,sediment
K0008B1,sediment
K0142B1,soil
K0186B1,sediment
K0181B1,sediment
K0184B1,sediment
K0183B1,sediment
K0182B1,sediment
K0116B1,soil
K0062B1,soil
K0115B1,soil
NA,NA
K0082B1,soil
K0135B1,soil
K0106B1,soil
K0029B1,soil
K0141B1,soil
K0097B1,sediment
K0215B1,sediment
219B1,sediment
K0218B1,sediment
K0212B1,sediment
K0253B1,sediment
k0281B1,NA
K0348B1,soil
K0282B1,soil
K0275B1,soil
K0276B1,soil
K0193B2,soil
180B2,sediment
K0172B2,sediment
K0173B2,sediment
201B2,sediment
K0203B2,sediment
K0204B2,sediment
K0187B2,sediment
B2,NA
K0202B2,sediment
C008B2,soil
K0142B2,soil
186B2,sediment
181B2,sediment
184B2,sediment
183B2,sediment
K0182B2,sediment
116B2,soil
K0062B2,soil
Ko115B2,soil
K0082B2,soil
K0135B2,soil
K0106B2,soil
K0029B2,soil
K0141B2,soil
K0097B2,soil
K0215B2,sediment
K0219B2,sediment
K0218B2,sediment
K0212B2,sediment
K0253B2,sediment
k0281B2,soil
K0348B2,sediment
K0282B2,sediment
K0275B2,soil
K0276B2,soil
K0193C1,sediment
180C1,sediment
K0172C1,NA
K0173C1,NA
201C1,sediment
K0203C1,sediment
K0204C1,sediment
K0187C1,sediment
C1,NA
K0202C1,sediment
C008C1,soil
K0142C1,soil
186C1,sediment
181C1,sediment
184C1,sediment
183C1,sediment
K0182C1,sediment
116C1,soil
K0062C1,soil
K0115C1,soil
K0082C1,soil
K0135C1,soil
K0106C1,soil
K0029C1,soil
K0141C1,soil
K0097C1,sediment
K0215C1,sediment
K0219C1,sediment
K0218C1,sediment
K0212C1,sediment
K0253C1,NA
k0281C1,soil
K0348C1,NA
K0282C1,NA
K0275C1,soil
K0276C1,sediment
K0193C2,soil
C2,NA
180C2,sediment
K0172C2,soil
K0173C2,sediment
201C2,sediment
K0203C2,sediment
K0204C2,sediment
K0187C2,sediment
C2,soil
K0202C2,sediment
C008C2,sediment
K0142C2,soil
186C2,sediment
181C2,sediment
184C2,sediment
183C2,sediment
K0182C2,sediment
116C2,soil
K0062C2,soil
Ko115C2,soil
K0082C2,soil
K0135C2,soil
K0106C2,soil
K0029C2,soil
K0141C2,soil
K0097C2,soil
C2,NA
K0215C2,sediment
219C2,sediment
K0218C2,sediment
K0212C2,sediment
C2,soil
C2,sediment
K0253C2,sediment
k0281C2,soil
K0348C2,NA
K0282C2,NA
K0275C2,sediment
K0276C2,sediment
K0166A1,sediment
K0166A1,sediment
K0154A1,soil
K0155A1,soil
K0156A1,soil
K0166A2,sediment
K0166A2,sediment
K0154A2,soil
K0155A2,soil
K0156A2,soil
K0166B1,sediment
K0166B1,sediment
K0154B1,soil
K0155B1,soil
K0156B1,soil
K0166B2,sediment
K0166B2,sediment
K0154B2,soil
K0155B2,soil
K0156B2,soil
K0166C1,sediment
K0166C1,sediment
K0154C1,soil
K0155C1,soil
K0156C1,soil
K0166C2,sediment
K0166C2,sediment
K0154C2,soil
K0155C2,soil
K0156C2,soil
K0024A1,sediment
K0024A1,sediment
22A1,soil
5A1,soil
45A1,soil
K0066A1,sediment
testA1,sediment
K0074A1,soil
K0073A1,soil
K0075A1,soil
K0072A1,soil
K0071A1,soil
K0133A1,sediment
K0055A1,soil
K0110A1,soil
K0124A1,soil
K0131A1,sediment
K0112A1,soil
K0129A1,soil
K0065A1,soil
K0114A1,soil
K0127A1,soil
K0130A1,soil
K0136A1,soil
K0095A1,sediment
K0076A1,soil
K0088A1,sediment
K0107A1,soil
K0060A1,soil
K0056A1,soil
K0177A1,soil
K0179A1,soil
K0147A1,soil
K0149A1,soil
KOO90A1,soil
K0162A1,sediment
K0096A1,soil
K0194A1,soil
K0209A1,sediment
K0059A1,sediment
K0217A1,sediment
214A1,sediment
213A1,sediment
K0128A1,soil
K0120A1,soil
K0164A1,soil
K0151A1,sediment
K0152A1,sediment
K0354A1,soil
K0024A2,sediment
K0024A2,sediment
22A2,soil
5A2,soil
45A2,soil
K0066A2,soil
testA2,soil
K0074A2,soil
K0073A2,soil
K0075A2,soil
K0072A2,soil
K0071A2,soil
K0133A2,sediment
K0055A2,sediment
K0110A2,soil
K0124A2,soil
K0131A2,sediment
K0112A2,soil
K0129A2,soil
K0065A2,soil
K0114A2,sediment
K0127A2,soil
K0130A2,soil
K0136A2,soil
K0095A2,soil
K0076A2,soil
K0088A2,soil
K0107A2,soil
K0060A2,sediment
K0056A2,sediment
K0177A2,soil
K0179A2,soil
K0147A2,soil
K0149A2,soil
KOO90A2,soil
K0162A2,sediment
K0096A2,sediment
K0194A2,soil
K0209A2,sediment
K0059A2,sediment
K0217A2,sediment
214A2,sediment
213A2,sediment
K0128A2,soil
K0120A2,soil
K0164A2,soil
K0151A2,soil
K0152A2,soil
K0354A2,soil
K0024B1,soil
K0024B1,soil
22B1,soil
5B1,soil
45B1,soil
K0066B1,sediment
testB1,soil
K0074B1,soil
K0073B1,soil
K0075B1,soil
K0072B1,soil
K0071B1,soil
K0133B1,soil
K0055B1,soil
K0110B1,soil
K0124B1,soil
K0131B1,soil
K0112B1,soil
K0129B1,soil
K0065B1,soil
K0114B1,soil
K0127B1,soil
K0130B1,soil
K0136B1,sediment
K0095B1,soil
K0076B1,sediment
K0088B1,sediment
K0107B1,soil
K0060B1,soil
K0056B1,sediment
K0177B1,soil
K0179B1,soil
K0147B1,soil
K0149B1,soil
KOO90B1,soil
K0162B1,soil
K0096B1,soil
K0194B1,soil
K0209B1,sediment
K0059B1,sediment
K0217B1,sediment
K0214B1,sediment
K0213B1,sediment
K0128B1,soil
K0120B1,soil
K0164B1,soil
K0151B1,sediment
K0152B1,soil
K0354B1,soil
K0024B2,soil
K0024B2,soil
22B2,soil
5B2,soil
45B2,soil
K0066B2,soil
testB2,soil
K0074B2,soil
K0073B2,soil
K0075B2,soil
K0072B2,soil
K0071B2,soil
K0133B2,soil
K0055B2,sediment
K0110B2,soil
K0124B2,soil
K0131B2,soil
K0112B2,soil
K0129B2,soil
K0065B2,soil
K0114B2,soil
K0127B2,soil
K0130B2,soil
K0136B2,soil
K0095B2,soil
K0076B2,sediment
K0088B2,soil
K0107B2,soil
K0060B2,soil
K0056B2,soil
K0177B2,soil
K0179B2,soil
K0147B2,soil
K0149B2,soil
KOO90B2,soil
K0162B2,soil
K0096B2,soil
K0194B2,soil
K0209B2,sediment
K0059B2,sediment
K0217B2,sediment
214B2,sediment
213B2,sediment
K0128B2,soil
K0120B2,soil
K0164B2,soil
K0151B2,soil
K0152B2,sediment
K0354B2,soil
K0024C1,soil
K0024C1,soil
22C1,soil
5C1,soil
45C1,soil
K0066C1,sediment
testC1,soil
K0074C1,soil
K0073C1,soil
K0075C1,soil
K0072C1,soil
K0071C1,soil
K0133C1,soil
K0055C1,soil
K0110C1,soil
K0124C1,soil
K0131C1,sediment
K0112C1,soil
K0129C1,soil
K0065C1,sediment
K0114C1,soil
K0127C1,sediment
K0130C1,soil
K0136C1,soil
K0095C1,soil
K0076C1,soil
K0088C1,sediment
K0107C1,soil
K0060C1,sediment
K0056C1,sediment
K0177C1,soil
K0179C1,soil
K0147C1,soil
K0149C1,soil
KOO90C1,soil
K0162C1,sediment
K0096C1,soil
K0194C1,soil
K0209C1,sediment
K0059C1,sediment
K0217C1,sediment
214C1,sediment
K0213C1,sediment
K0128C1,soil
K0120C1,soil
K0164C1,soil
K0151C1,soil
K0152C1,soil
K0354C1,soil
K0024C2,soil
K0024C2,soil
22C2,soil
5C2,soil
45C2,soil
K0066C2,soil
testC2,soil
K0074C2,soil
K0073C2,soil
K0075C2,soil
K0072C2,soil
K0071C2,soil
K0133C2,soil
K0055C2,sediment
K0110C2,soil
K0124C2,soil
K0131C2,soil
K0112C2,soil
K0129C2,soil
K0065C2,soil
K0114C2,soil
K0127C2,sediment
K0130C2,soil
K0136C2,soil
K0095C2,soil
K0076C2,sediment
K0088C2,soil
K0107C2,soil
K0060C2,soil
K0056C2,soil
K0177C2,soil
K0179C2,soil
K0147C2,soil
K0149C2,soil
KOO90C2,soil
K0162C2,sediment
K0096C2,soil
K0194C2,soil
K0209C2,sediment
K0059C2,sediment
K0217C2,sediment
214C2,sediment
K0213C2,sediment
K0128C2,soil
K0120C2,soil
K0164C2,soil
K0151C2,soil
K0152C2,sediment
K0354C2,soil